iteration,p1_avg_regret,p2_avg_regret,p1_l1_to_uniform,p2_l1_to_uniform,p1_avg_rock,p2_avg_rock,p1_regret_rock,p2_regret_rock,p1_avg_paper,p2_avg_paper,p1_regret_paper,p2_regret_paper,p1_avg_scissors,p2_avg_scissors,p1_regret_scissors,p2_regret_scissors
1,2.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,-2.0,0.3333333333333333,0.3333333333333333,0.0,-1.0,0.3333333333333333,0.3333333333333333,1.0,0.0
100,0.16,0.01,0.20399736838295207,0.1316666666666667,0.4353320175248094,0.36083333333333334,2.0,-15.0,0.31005989011748525,0.3716666666666667,15.0,1.0,0.2546080923577054,0.2675,16.0,-19.0
200,0.135,0.035,0.14195184780088993,0.1261199226470121,0.3061364091734979,0.3152733720098273,27.0,7.0,0.28955433359272376,0.28833333333333333,-16.0,-27.0,0.40430925723377825,0.3963932946568394,4.0,5.0
300,0.10333333333333333,0.04,0.06885489299885095,0.15113619713619697,0.36776077983275884,0.32088856021286377,-35.0,-9.0,0.3077249607089766,0.40890143190143186,16.0,12.0,0.3245142594582646,0.27021000788570443,31.0,-15.0
400,0.04,0.0525,0.1536018423360182,0.08523880855083493,0.27582058487456906,0.35386623771158904,-12.0,16.0,0.3140451606240885,0.35541983323049514,16.0,-52.0,0.41013425450134244,0.29071392905791593,11.0,21.0
500,0.046,0.05,0.0813323753788977,0.06458586630820107,0.3562352990238313,0.344300240797704,23.0,20.0,0.2926671456438845,0.30104040017923284,-26.0,25.0,0.35109755533228426,0.3546593590230632,-33.0,-9.0
600,0.028333333333333332,0.043333333333333335,0.06964861912986553,0.07556773496156138,0.35958729871107564,0.347122021785823,-34.0,14.0,0.2985090237684006,0.3573285123616244,17.0,26.0,0.3419036775205238,0.2955494658525527,-10.0,-13.0
700,0.027142857142857142,0.037142857142857144,0.08200073497290117,0.05268137308976273,0.3082176846094934,0.3141168789313299,-19.0,21.0,0.3174486145707227,0.35967401987821473,-12.0,-35.0,0.37433370081978395,0.32620910119045543,19.0,26.0
800,0.0325,0.03875,0.07111668446732977,0.03723713187979083,0.31647256513608135,0.34161138668043645,26.0,9.0,0.31463575929692045,0.31471476739343796,7.0,-37.0,0.36889167556699826,0.34367384592612565,-36.0,31.0
900,0.023333333333333334,0.04777777777777778,0.08507345181997283,0.01149251651446409,0.37587005924331973,0.3390795915905654,9.0,-11.0,0.29622622914157065,0.3322043262842524,21.0,43.0,0.32790371161510956,0.3287160821251822,-24.0,-38.0
1000,0.022,0.035,0.048132265399423335,0.0888427978769713,0.34060055199136974,0.31174715585601764,-85.0,35.0,0.3092672006336217,0.37775473227181894,-18.0,18.0,0.3501322473750086,0.3104981118721633,22.0,28.0
1100,0.02090909090909091,0.05272727272727273,0.07121892160934545,0.04582639755815421,0.30963686544669977,0.3443347363062934,-39.0,30.0,0.32142034041529416,0.3452451291394504,23.0,-52.0,0.36894279413800607,0.31042013455425627,-20.0,58.0
1200,0.025833333333333333,0.04583333333333333,0.01940025962397185,0.05487799087939349,0.3363757338883027,0.3199769800402019,31.0,13.0,0.3236332035213475,0.319250691186768,-83.0,31.0,0.33999106259034995,0.3607723287730301,-47.0,55.0
1300,0.038461538461538464,0.05076923076923077,0.06918998324264053,0.06469759944052433,0.3648258413800733,0.3009845336130712,-15.0,17.0,0.298738341712013,0.354954771601775,-77.0,66.0,0.3364358169079136,0.34406069478515383,50.0,-41.0
1400,0.025,0.04642857142857143,0.10182126849427475,0.02882747077833453,0.3387668527100682,0.33276800040557086,-3.0,65.0,0.282422699086196,0.34774706872250055,35.0,-62.0,0.3788104482037359,0.3194849308719285,34.0,-69.0
1500,0.03266666666666666,0.042666666666666665,0.050055874686086244,0.05686549996214296,0.31618239586273034,0.3617660833144048,-20.0,19.0,0.3254563334608932,0.32456393080766716,49.0,-29.0,0.35836127067637646,0.313669985877928,-83.0,64.0
1600,0.021875,0.035625,0.01245703534714998,0.04032418038671759,0.33693149308113873,0.340646447123807,35.0,5.0,0.3271048156597583,0.3131712431399746,-48.0,57.0,0.33596369125910286,0.3461823097362185,-86.0,37.0
1700,0.02176470588235294,0.04764705882352941,0.06250533584605433,0.031040770412481156,0.36458600125636054,0.32140351633971637,-3.0,-14.0,0.3078633559150667,0.3488537185395739,-19.0,81.0,0.3275506428285728,0.3297427651207097,37.0,-82.0
1800,0.017222222222222222,0.04777777777777778,0.08093392641005304,0.046634544111557985,0.3443312234087849,0.33192567199688405,-59.0,86.0,0.29286637012830685,0.35665060538911236,25.0,-10.0,0.3628024064629083,0.31142372261400364,31.0,-73.0
1900,0.02368421052631579,0.029473684210526315,0.02949042037956484,0.0636230182586699,0.3262085274399015,0.35611173865703805,-91.0,45.0,0.32571292903698273,0.34236643713896353,45.0,19.0,0.34807854352311574,0.30152182420399837,-74.0,56.0
2000,0.025,0.036,0.034077399860941826,0.017021264229113098,0.3189533503892358,0.34184396544788986,50.0,-91.0,0.35037203326380423,0.32739233444317317,13.0,-17.0,0.33067461634695994,0.3307637001089369,-27.0,72.0
2100,0.01904761904761905,0.032857142857142856,0.03144316885502074,0.015535303908781273,0.34830576837947863,0.32556568137894276,40.0,-90.0,0.33408248271469837,0.33822695484972787,-26.0,69.0,0.31761174890582294,0.3362073637713295,34.0,-27.0
2200,0.02909090909090909,0.02409090909090909,0.02887283602951518,0.06035939348607927,0.3375917472562125,0.31456828578102985,-103.0,49.0,0.3188969153185757,0.363513030076373,-75.0,53.0,0.3435113374252117,0.32191868414259717,64.0,12.0
2300,0.023043478260869565,0.030434782608695653,0.06328999385456385,0.048463441459831225,0.32291384520159455,0.3385649264031865,-66.0,70.0,0.3121078245377902,0.3523334609933958,53.0,-72.0,0.36497833026061527,0.30910161260341773,28.0,-13.0
2400,0.025416666666666667,0.032916666666666664,0.04774846336361044,0.03206986499871112,0.3094591016515281,0.34504869904735125,-14.0,-26.0,0.3390450744999833,0.33765290011867094,61.0,-80.0,0.3514958238484886,0.31729840083397776,-20.0,79.0
2500,0.0264,0.0316,0.023721432120527797,0.02254626293457057,0.32147261727306947,0.33124675108545726,66.0,-46.0,0.3409128019008078,0.32414678411392417,-59.0,0.0,0.3376145808261228,0.3446064648006187,-40.0,79.0
