iteration,cfr_avg_expl,cfr_cur_expl,cfrplus_avg_expl,cfrplus_cur_expl,cfr_seconds,cfrplus_seconds,cfr_zero_regret_frac,cfrplus_zero_regret_frac,cfr_avg_value_p0,cfrplus_avg_value_p0,cfr_cur_bet_J,cfrplus_cur_bet_J,cfr_cur_bet_Q,cfrplus_cur_bet_Q,cfr_cur_bet_K,cfrplus_cur_bet_K
1,0.45833333333333326,0.33333333333333326,0.41666666666666663,0.24999999999999997,0.0006635999889113009,0.000813000020571053,0.0,0.625,0.12500000000000003,0.5,1.0,1.0,1.0,1.0,1.0,1.0
2,0.3125,0.25,0.16919191919191914,0.13111888111888112,0.0011212999816052616,0.001559300028020516,0.0,0.4166666666666667,-0.03125,0.04641654641654647,0.375,0.27272727272727276,0.75,0.4285714285714286,0.75,1.0
5,0.1885732323232323,0.16666666666666669,0.08048406211761025,0.10795975264207752,0.0024659999762661755,0.003810500056715682,0.0,0.25,-0.025984848484848444,-0.023493888884097647,0.0,0.02824743522288435,0.12499999999999996,0.33123587462677667,0.42741935483870963,0.47266561652474287
10,0.09620850020140503,0.19097222222222215,0.028844040685001238,0.03897346605894217,0.00487439995049499,0.007733000064035878,0.0,0.2916666666666667,-0.03519276118701564,-0.05198275618993231,0.0,0.17044127611572565,0.12499999999999996,0.0,1.0,0.4232059625359256
20,0.0662813789984156,0.25,0.009969846060863125,0.041996378127273415,0.009165499941445887,0.015123600111110136,0.0,0.3333333333333333,-0.04862010439637943,-0.05422321431764965,0.0,0.0,0.0,0.0,0.4195706072197372,0.5934051811016917
50,0.036218246747351635,0.27245551893499015,0.003441577115984279,0.04024869074361498,0.02196179988095537,0.036914000171236694,0.0,0.2916666666666667,-0.050570022375569235,-0.05535112304883216,0.0,0.06858837707352297,0.0,0.0,1.0,0.574563161394836
100,0.02567473584694807,0.22830389790417455,0.0009575311519800789,0.04062402364065304,0.04324299987638369,0.07376600019051693,0.0,0.2916666666666667,-0.05598721160991632,-0.05552954759476819,0.0,0.2670181401708271,0.0,0.0,1.0,0.5863236390123227
200,0.017305550127716257,0.25,0.00042269634636704634,0.025812102805797654,0.08519829984288663,0.14731320017017424,0.0,0.2916666666666667,-0.054423786261988905,-0.05554926308672836,0.0,0.25503305162769613,0.0,0.0,1.0,0.6020415209825523
400,0.01263115355763958,0.15952150371264856,0.00019543846215494542,0.01291390273408255,0.17168620001757517,0.29460549986106344,0.0,0.2916666666666667,-0.054864644596015644,-0.05555406786068762,0.08574195544821735,0.14208014853946133,0.0,0.0,0.2848784699393245,0.6878292144158422
600,0.009266678849058962,0.20849517806089485,7.032553585442636e-05,0.02217607193768023,0.2567121999163646,0.44033779986784793,0.0,0.2916666666666667,-0.05554839699246572,-0.055554960589052405,0.0,0.2855418234456233,0.0,0.0,1.0,0.6101816277642194
800,0.008280157790789056,0.19515813670636212,0.00013100667694959656,0.025527054603927346,0.34536879986990243,0.5943339998193551,0.0,0.2916666666666667,-0.055514512877684885,-0.05555509964606248,0.0,0.2509109412720845,0.0,0.0,1.0,0.6428759312599129
