algorithm,seed,iteration,nodes_touched,seconds,exploitability
CFR,-1,1,58,0.0005458999949041754,0.45833333333333326
CFR,-1,2,116,0.0012057000130880624,0.3125
CFR,-1,3,174,0.0016865000361576676,0.2708333333333333
CFR,-1,4,232,0.0021691000438295305,0.23263888888888895
CFR,-1,6,348,0.0030510000651702285,0.15120798034104493
CFR,-1,9,522,0.004340200073784217,0.09837962962962965
CFR,-1,12,696,0.005633000109810382,0.08306726868635611
CFR,-1,17,986,0.00777870012097992,0.06501586257361597
CFR,-1,23,1334,0.010538400121731684,0.05999370761018136
CFR,-1,32,1856,0.014345800125738606,0.05051499778618454
CFR,-1,45,2610,0.019818600150756538,0.03835478368446943
CFR,-1,62,3596,0.027059400134021416,0.0336542389495437
CFR,-1,85,4930,0.03661560011096299,0.02822963606544246
CFR,-1,117,6786,0.04976170015288517,0.022069956336962016
CFR,-1,161,9338,0.06842120020883158,0.021261386147742672
CFR,-1,221,12818,0.09344770014286041,0.01575618390179609
CFR,-1,303,17574,0.12739740026881918,0.0134837301605642
CFR,-1,417,24186,0.1762021002941765,0.011761449822941361
CFR,-1,573,33234,0.24143340028240345,0.01014931025440885
CFR,-1,788,45704,0.33551980039919727,0.008216402630921549
CFR,-1,1082,62756,0.4620530003448948,0.007125373369374188
CFR,-1,1487,86246,0.6318411002866924,0.005868821445234956
CFR,-1,2043,118494,0.8631747005856596,0.005188003441605443
CFR,-1,2807,162806,1.184032700926764,0.004357413935782262
CFR,-1,3856,223648,1.625100300880149,0.0037066100195229656
CFR,-1,5298,307284,2.226551700994605,0.003119068126334751
CFR,-1,7278,422124,3.0577035007008817,0.0026533274273657093
CFR,-1,10000,580000,4.206624500598991,0.0023177863149768385
CFR+,-1,1,116,0.0008165999897755682,0.41666666666666663
CFR+,-1,2,232,0.0015675999748054892,0.16919191919191914
CFR+,-1,3,348,0.0024441999557893723,0.08918858918858924
CFR+,-1,4,464,0.003234899981180206,0.09428210678210677
CFR+,-1,6,696,0.004744499980006367,0.04715787502304419
CFR+,-1,9,1044,0.006981499958783388,0.02657613874532605
CFR+,-1,12,1392,0.00921549994382076,0.02012134991583972
CFR+,-1,17,1972,0.01327649992890656,0.010224550421446488
CFR+,-1,23,2668,0.01753299991833046,0.005052048047157587
CFR+,-1,32,3712,0.024061799922492355,0.0036341154054763125
CFR+,-1,45,5220,0.033327899931464344,0.002339465273859892
CFR+,-1,62,7192,0.045414699940010905,0.002509864175370885
CFR+,-1,85,9860,0.06220789992948994,0.0018967238036102507
CFR+,-1,117,13572,0.08522239993908443,0.000718302423378947
CFR+,-1,161,18676,0.11742109997430816,0.0006772653948823593
CFR+,-1,221,25636,0.16084650007542223,0.0006458048323637056
CFR+,-1,303,35148,0.22002110004541464,0.00039174851703902003
CFR+,-1,417,48372,0.302523300080793,0.00023569507817841617
CFR+,-1,573,66468,0.41424290006398223,0.00026333108547774153
CFR+,-1,788,91408,0.5682821001391858,0.00010040231323710236
CFR+,-1,1082,125512,0.7768319001770578,0.00013362568581778977
CFR+,-1,1487,172492,1.0698011004424188,8.564898454091474e-05
CFR+,-1,2043,236988,1.4746258006198332,6.174606789460801e-05
CFR+,-1,2807,325612,2.025552700913977,1.7217732308699718e-05
CFR+,-1,3856,447296,2.7878119016240817,1.2200375252097162e-05
CFR+,-1,5298,614568,3.831747301563155,3.128563374946158e-05
CFR+,-1,7278,844248,5.261738101020455,2.8082441984267348e-05
CFR+,-1,10000,1160000,7.2350497013831045,9.0894821170584e-06
OS-MCCFR,0,1,10,0.0003535999858286232,0.45833333333333326
OS-MCCFR,0,2,20,0.0005889000021852553,0.45833333333333326
OS-MCCFR,0,3,30,0.0008236000139731914,0.5208333333333333
OS-MCCFR,0,5,50,0.001396900013787672,0.5208333333333333
OS-MCCFR,0,8,80,0.002287100040121004,0.4305555555555556
OS-MCCFR,0,12,123,0.0034721000702120364,0.4306712962962963
OS-MCCFR,0,19,195,0.004871400073170662,0.3251564676169043
OS-MCCFR,0,28,289,0.006683900108328089,0.33868495531088727
OS-MCCFR,0,44,458,0.010055200109491125,0.3034096458732711
OS-MCCFR,0,67,704,0.014762100123334676,0.2535815092957354
OS-MCCFR,0,102,1070,0.023178900068160146,0.1582520199253539
OS-MCCFR,0,156,1627,0.033899900096002966,0.10164627815478439
OS-MCCFR,0,237,2463,0.04962330008856952,0.11245212165859766
OS-MCCFR,0,362,3747,0.07343730004504323,0.12817591471419054
OS-MCCFR,0,551,5722,0.11072160000912845,0.09046269180831212
OS-MCCFR,0,840,8801,0.1701535001047887,0.05074107972302333
OS-MCCFR,0,1280,13483,0.26099550002254546,0.03063702600656515
OS-MCCFR,0,1951,20499,0.39916580013232306,0.04961980693213461
OS-MCCFR,0,2972,31409,0.6075398001121357,0.03883769371009663
OS-MCCFR,0,4527,47810,0.9108785996795632,0.020293965198491887
OS-MCCFR,0,6897,73192,1.3835399000381585,0.05691270536927137
OS-MCCFR,0,10506,111516,2.092023500619689,0.012905037991832624
OS-MCCFR,0,16005,169971,3.1867131015460473,0.014051501605691213
OS-MCCFR,0,24381,259001,4.8625931015994865,0.01371786056774757
OS-MCCFR,0,37140,394411,7.40199050004594,0.010942661393272407
OS-MCCFR,0,56577,599482,11.197944200597703,0.007747668705015448
OS-MCCFR,0,86186,912650,17.088442902022507,0.005187156349700739
OS-MCCFR,0,131291,1389215,26.046367401781026,0.004034356538018369
OS-MCCFR,0,200000,2115704,39.63111960250535,0.003980951484117118
OS-MCCFR,1,1,11,0.0002580000145826489,0.45833333333333326
OS-MCCFR,1,2,21,0.0004869000113103539,0.45833333333333326
