algorithm,seed,iteration,nodes_touched,seconds,exploitability
CFR,-1,1,9457,0.08087300002807751,2.3736111111111113
CFR,-1,2,18914,0.15953090001130477,2.300970804988662
CFR,-1,3,28371,0.24063900002511218,2.0969889709481926
CFR,-1,4,37828,0.32857070001773536,1.7685663643111136
CFR,-1,5,47285,0.40662930003600195,1.5035951639504677
CFR,-1,7,66199,0.5722471000626683,1.1773212444697745
CFR,-1,10,94570,0.8096829000278376,0.9270185719676689
CFR,-1,14,132398,1.1571340000373311,0.7462955784708596
CFR,-1,18,170226,1.4746722001582384,0.6371363714947136
CFR,-1,25,236425,2.0552753002848476,0.4711816912442355
CFR,-1,33,312081,2.7267863003653474,0.34515405825637363
CFR,-1,45,425565,3.7416365003446117,0.29164097428467706
CFR,-1,61,576877,5.039437200292014,0.2675302642929635
CFR,-1,81,766017,6.630157300445717,0.21532477951496956
CFR,-1,109,1030813,8.896387300337665,0.15589085017666282
CFR,-1,147,1390179,11.941888600180391,0.12113508934138406
CFR,-1,197,1863029,15.940371500444598,0.09994486230597707
CFR,-1,265,2506105,21.433855800540186,0.09531868330843912
CFR,-1,355,3357235,28.662489200476557,0.07727607980132695
CFR,-1,477,4510989,38.58634060021723,0.06252074073133396
CFR,-1,639,6043023,51.51643340080045,0.05274590378983471
CFR,-1,858,8114106,68.75433530082228,0.04159909178264404
CFR,-1,1151,10885007,94.76828960084822,0.03337782040411652
CFR,-1,1544,14601608,151.31736770051066,0.029281630380561433
CFR,-1,2071,19585447,212.96005370095372,0.024709133822437182
CFR,-1,2778,26271546,315.8539700001711,0.02023934809606115
CFR,-1,3727,35246239,454.75933589960914,0.018912672061493163
CFR,-1,5000,47285000,626.8144293011865,0.015644291815716166
CFR+,-1,1,18914,0.30582879995927215,2.194861111111111
CFR+,-1,2,37828,0.6009653999935836,2.332053366017588
CFR+,-1,3,56742,0.8697447999729775,1.9216548047511048
CFR+,-1,4,75656,1.1241015999694355,1.4463853172434817
CFR+,-1,5,94570,1.3773610999342054,1.235735293784975
CFR+,-1,7,132398,1.906654099933803,0.8389694516938191
CFR+,-1,10,189140,2.7570997998700477,0.5202440766918717
CFR+,-1,14,264796,3.898416899901349,0.3112318470225054
CFR+,-1,18,340452,5.090517799835652,0.19084492357265695
CFR+,-1,25,472850,6.905791399884038,0.11168596595938388
CFR+,-1,33,624162,9.095457799790893,0.06173050516122053
CFR+,-1,45,851130,12.332597199769225,0.0384501769754704
CFR+,-1,61,1153754,16.753902899858076,0.024500850821600688
CFR+,-1,81,1532034,22.00746159988921,0.019144659327308633
CFR+,-1,109,2061626,29.28350799990585,0.012544502845506567
CFR+,-1,147,2780358,39.032653599919286,0.00741353804773498
CFR+,-1,197,3726058,51.920759799773805,0.005068244256286256
CFR+,-1,265,5012210,69.58376269962173,0.003153373973324408
CFR+,-1,355,6714470,93.87540949991671,0.0015913945179002534
CFR+,-1,477,9021978,126.64321910002036,0.0009619784265526149
CFR+,-1,639,12086046,170.86813300050562,0.0005037171851479394
CFR+,-1,858,16228212,228.04748459992697,0.00031524901576956976
CFR+,-1,1151,21770014,304.865170899604,0.00018681207572757152
CFR+,-1,1544,29203216,410.46261609968496,0.00011617016638197641
CFR+,-1,2071,39170894,550.7637137999991,7.387714948688118e-05
CFR+,-1,2778,52543092,738.7115713996463,4.537555542874494e-05
CFR+,-1,3727,70492478,983.6807225983939,2.29776611012783e-05
CFR+,-1,5000,94570000,1325.3496076994343,1.4856425704048992e-05
OS-MCCFR,0,1,14,0.0010812999680638313,2.373611111111111
OS-MCCFR,0,2,25,0.0018625999800860882,2.38125
OS-MCCFR,0,3,42,0.002578799962066114,2.38125
OS-MCCFR,0,6,85,0.005138499953318387,2.4226273148148145
OS-MCCFR,0,9,136,0.0069997000391595066,2.435949074074074
OS-MCCFR,0,15,232,0.013194400002248585,2.4138603988603986
OS-MCCFR,0,23,362,0.01757240016013384,2.407823814399335
OS-MCCFR,0,37,592,0.025373600190505385,2.458243549557572
OS-MCCFR,0,58,944,0.0378245001193136,2.519380868629257
OS-MCCFR,0,92,1493,0.0565455001196824,2.5141808435581248
OS-MCCFR,0,145,2367,0.0871787000214681,2.437713179425248
OS-MCCFR,0,228,3776,0.15894039999693632,2.4332076906753795
OS-MCCFR,0,358,5929,0.24728589976439252,2.4226375600834147
OS-MCCFR,0,563,9408,0.4254152000066824,2.347439676879067
OS-MCCFR,0,886,14766,0.6368839992210269,2.1791279896271734
OS-MCCFR,0,1393,22749,1.0166619989904575,2.035779505159338
OS-MCCFR,0,2191,35488,1.5095482984906994,1.9416946938216246
OS-MCCFR,0,3445,55304,2.370232498331461,1.7693796503825787
OS-MCCFR,0,5417,85780,3.598267398076132,1.584576582734598
OS-MCCFR,0,8517,133541,5.756183199409861,1.2144853144840098
OS-MCCFR,0,13391,208969,8.877370600530412,0.9960425958101148
OS-MCCFR,0,21055,329188,14.138213903119322,0.9219948525223376
OS-MCCFR,0,33103,524567,22.97644330310868,0.8229542218428979
OS-MCCFR,0,52046,826062,36.38793130137492,0.633384896720864
OS-MCCFR,0,81828,1287192,55.73136060452089,0.5497552042315412
OS-MCCFR,0,128653,2034881,87.85092260414967,0.4707856804788101
OS-MCCFR,0,202272,3201890,138.40316680143587,0.3239825237192957
OS-MCCFR,0,318019,4997629,215.10246120067313,0.2690995982925545
OS-MCCFR,0,500000,7876809,339.3186452004011,0.24326115099730633
OS-MCCFR,1,1,12,0.0007939999923110008,2.373611111111111
OS-MCCFR,1,2,26,0.0017567999893799424,2.373611111111111
OS-MCCFR,1,3,45,0.0030798999941907823,2.373611111111111
OS-MCCFR,1,6,96,0.00495149998459965,2.354783950617284
OS-MCCFR,1,9,138,0.007592900015879422,2.356182484567901
OS-MCCFR,1,15,238,0.012820200063288212,2.468400945859827
OS-MCCFR,1,23,363,0.019878100021742284,2.42572199547163
OS-MCCFR,1,37,600,0.03111080004600808,2.403946264584078
OS-MCCFR,1,58,948,0.04439789993921295,2.319846845652413
