agent_a,agent_b,mean,ci_low,ci_high,p_value,n,seeds
random,always_fold,0.74838,0.7432887646812114,0.7534712353187887,0.0,25000,"0,1,2,3,4"
always_fold,random,-0.74838,-0.7534712353187887,-0.7432887646812114,0.0,25000,"0,1,2,3,4"
random,always_call,-4e-05,-0.017373131003120938,0.01729313100312094,0.9963911130256602,25000,"0,1,2,3,4"
always_call,random,4e-05,-0.01729313100312094,0.017373131003120938,0.9963911130256602,25000,"0,1,2,3,4"
random,rule_based_tight_aggressive,0.74868,0.743586337287193,0.753773662712807,0.0,25000,"0,1,2,3,4"
rule_based_tight_aggressive,random,-0.74868,-0.753773662712807,-0.743586337287193,0.0,25000,"0,1,2,3,4"
random,ev_heuristic_v0,0.70038,0.6874342542672807,0.7133257457327193,0.0,25000,"0,1,2,3,4"
ev_heuristic_v0,random,-0.70038,-0.7133257457327193,-0.6874342542672807,0.0,25000,"0,1,2,3,4"
random,CFR5000,-0.75834,-0.7924894642517951,-0.7241905357482049,0.0,25000,"0,1,2,3,4"
CFR5000,random,0.75834,0.7241905357482049,0.7924894642517951,0.0,25000,"0,1,2,3,4"
random,CFRPlus5000,-0.71832,-0.7525198845777545,-0.6841201154222454,0.0,25000,"0,1,2,3,4"
CFRPlus5000,random,0.71832,0.6841201154222454,0.7525198845777545,0.0,25000,"0,1,2,3,4"
always_fold,always_call,0.0,0.0,0.0,,25000,"0,1,2,3,4"
always_call,always_fold,0.0,0.0,0.0,,25000,"0,1,2,3,4"
always_fold,rule_based_tight_aggressive,0.0,0.0,0.0,,25000,"0,1,2,3,4"
rule_based_tight_aggressive,always_fold,0.0,0.0,0.0,,25000,"0,1,2,3,4"
always_fold,ev_heuristic_v0,0.0,0.0,0.0,,25000,"0,1,2,3,4"
ev_heuristic_v0,always_fold,0.0,0.0,0.0,,25000,"0,1,2,3,4"
always_fold,CFR5000,-0.55836,-0.564412353636387,-0.552307646363613,0.0,25000,"0,1,2,3,4"
CFR5000,always_fold,0.55836,0.552307646363613,0.564412353636387,0.0,25000,"0,1,2,3,4"
always_fold,CFRPlus5000,-0.5742,-0.5802021298317798,-0.5681978701682203,0.0,25000,"0,1,2,3,4"
CFRPlus5000,always_fold,0.5742,0.5681978701682203,0.5802021298317798,0.0,25000,"0,1,2,3,4"
always_call,rule_based_tight_aggressive,0.0,0.0,0.0,,25000,"0,1,2,3,4"
rule_based_tight_aggressive,always_call,0.0,0.0,0.0,,25000,"0,1,2,3,4"
always_call,ev_heuristic_v0,0.0,0.0,0.0,,25000,"0,1,2,3,4"
ev_heuristic_v0,always_call,0.0,0.0,0.0,,25000,"0,1,2,3,4"
always_call,CFR5000,-0.66284,-0.6788002714204675,-0.6468797285795325,0.0,25000,"0,1,2,3,4"
CFR5000,always_call,0.66284,0.6468797285795325,0.6788002714204675,0.0,25000,"0,1,2,3,4"
always_call,CFRPlus5000,-0.62804,-0.6444283928643295,-0.6116516071356706,0.0,25000,"0,1,2,3,4"
CFRPlus5000,always_call,0.62804,0.6116516071356706,0.6444283928643295,0.0,25000,"0,1,2,3,4"
rule_based_tight_aggressive,ev_heuristic_v0,0.0,0.0,0.0,,25000,"0,1,2,3,4"
ev_heuristic_v0,rule_based_tight_aggressive,0.0,0.0,0.0,,25000,"0,1,2,3,4"
rule_based_tight_aggressive,CFR5000,-0.55836,-0.564412353636387,-0.552307646363613,0.0,25000,"0,1,2,3,4"
CFR5000,rule_based_tight_aggressive,0.55836,0.552307646363613,0.564412353636387,0.0,25000,"0,1,2,3,4"
rule_based_tight_aggressive,CFRPlus5000,-0.5742,-0.5802021298317798,-0.5681978701682203,0.0,25000,"0,1,2,3,4"
CFRPlus5000,rule_based_tight_aggressive,0.5742,0.5681978701682203,0.5802021298317798,0.0,25000,"0,1,2,3,4"
ev_heuristic_v0,CFR5000,-0.55472,-0.5649851107594559,-0.5444548892405441,0.0,25000,"0,1,2,3,4"
CFR5000,ev_heuristic_v0,0.55472,0.5444548892405441,0.5649851107594559,0.0,25000,"0,1,2,3,4"
ev_heuristic_v0,CFRPlus5000,-0.56728,-0.577681981051312,-0.556878018948688,0.0,25000,"0,1,2,3,4"
CFRPlus5000,ev_heuristic_v0,0.56728,0.556878018948688,0.577681981051312,0.0,25000,"0,1,2,3,4"
CFR5000,CFRPlus5000,-0.00058,-0.008773710926276332,0.007613710926276332,0.8896562874049176,25000,"0,1,2,3,4"
CFRPlus5000,CFR5000,0.00058,-0.007613710926276332,0.008773710926276332,0.8896562874049176,25000,"0,1,2,3,4"
