agent_a,agent_b,mean,ci_low,ci_high,p_value,n,seeds
random,always_fold,0.4964,0.4920173765385276,0.5007826234614724,0.0,50000,"0,1,2,3,4"
always_fold,random,-0.4964,-0.5007826234614724,-0.4920173765385276,0.0,50000,"0,1,2,3,4"
random,always_call,-0.37496,-0.3817873140693407,-0.36813268593065934,0.0,50000,"0,1,2,3,4"
always_call,random,0.37496,0.36813268593065934,0.3817873140693407,0.0,50000,"0,1,2,3,4"
random,rule_based_tight_aggressive,-0.20764,-0.21029820327209667,-0.20498179672790331,0.0,50000,"0,1,2,3,4"
rule_based_tight_aggressive,random,0.20764,0.20498179672790331,0.21029820327209667,0.0,50000,"0,1,2,3,4"
random,ev_heuristic_v0,-0.15931,-0.16379270943733396,-0.15482729056266606,0.0,50000,"0,1,2,3,4"
ev_heuristic_v0,random,0.15931,0.15482729056266606,0.16379270943733396,0.0,50000,"0,1,2,3,4"
random,CFR10000,-0.14848,-0.15313060810243798,-0.14382939189756203,0.0,50000,"0,1,2,3,4"
CFR10000,random,0.14848,0.14382939189756203,0.15313060810243798,0.0,50000,"0,1,2,3,4"
random,CFR+10000,-0.14442,-0.14909392032096594,-0.13974607967903405,0.0,50000,"0,1,2,3,4"
CFR+10000,random,0.14442,0.13974607967903405,0.14909392032096594,0.0,50000,"0,1,2,3,4"
random,OS-MCCFR10000,-0.15502,-0.1598302315263835,-0.15020976847361647,0.0,50000,"0,1,2,3,4"
OS-MCCFR10000,random,0.15502,0.15020976847361647,0.1598302315263835,0.0,50000,"0,1,2,3,4"
random,ES-MCCFR10000,-0.14614,-0.15067153056100444,-0.14160846943899555,0.0,50000,"0,1,2,3,4"
ES-MCCFR10000,random,0.14614,0.14160846943899555,0.15067153056100444,0.0,50000,"0,1,2,3,4"
always_fold,always_call,-1.0,-1.0,-1.0,0.0,50000,"0,1,2,3,4"
always_call,always_fold,1.0,1.0,1.0,0.0,50000,"0,1,2,3,4"
always_fold,rule_based_tight_aggressive,0.0,0.0,0.0,,50000,"0,1,2,3,4"
rule_based_tight_aggressive,always_fold,0.0,0.0,0.0,,50000,"0,1,2,3,4"
always_fold,ev_heuristic_v0,-0.11752,-0.12034282359801822,-0.11469717640198178,0.0,50000,"0,1,2,3,4"
ev_heuristic_v0,always_fold,0.11752,0.11469717640198178,0.12034282359801822,0.0,50000,"0,1,2,3,4"
always_fold,CFR10000,-0.18272,-0.18610730178578747,-0.17933269821421252,0.0,50000,"0,1,2,3,4"
CFR10000,always_fold,0.18272,0.17933269821421252,0.18610730178578747,0.0,50000,"0,1,2,3,4"
always_fold,CFR+10000,-0.1875,-0.1909212730236247,-0.1840787269763753,0.0,50000,"0,1,2,3,4"
CFR+10000,always_fold,0.1875,0.1840787269763753,0.1909212730236247,0.0,50000,"0,1,2,3,4"
always_fold,OS-MCCFR10000,-0.21578,-0.21938578612739068,-0.21217421387260932,0.0,50000,"0,1,2,3,4"
OS-MCCFR10000,always_fold,0.21578,0.21217421387260932,0.21938578612739068,0.0,50000,"0,1,2,3,4"
always_fold,ES-MCCFR10000,-0.17396,-0.17728277283046773,-0.17063722716953228,0.0,50000,"0,1,2,3,4"
ES-MCCFR10000,always_fold,0.17396,0.17063722716953228,0.17728277283046773,0.0,50000,"0,1,2,3,4"
always_call,rule_based_tight_aggressive,-0.33396,-0.33602409176288384,-0.3318959082371161,0.0,50000,"0,1,2,3,4"
rule_based_tight_aggressive,always_call,0.33396,0.3318959082371161,0.33602409176288384,0.0,50000,"0,1,2,3,4"
always_call,ev_heuristic_v0,-0.15282,-0.1577933236822242,-0.14784667631777582,0.0,50000,"0,1,2,3,4"
ev_heuristic_v0,always_call,0.15282,0.14784667631777582,0.1577933236822242,0.0,50000,"0,1,2,3,4"
always_call,CFR10000,-0.11043,-0.115430011268869,-0.105429988731131,0.0,50000,"0,1,2,3,4"
CFR10000,always_call,0.11043,0.105429988731131,0.115430011268869,0.0,50000,"0,1,2,3,4"
always_call,CFR+10000,-0.1075,-0.11249642597517971,-0.10250357402482028,0.0,50000,"0,1,2,3,4"
CFR+10000,always_call,0.1075,0.10250357402482028,0.11249642597517971,0.0,50000,"0,1,2,3,4"
always_call,OS-MCCFR10000,-0.101,-0.10596143644976261,-0.0960385635502374,0.0,50000,"0,1,2,3,4"
OS-MCCFR10000,always_call,0.101,0.0960385635502374,0.10596143644976261,0.0,50000,"0,1,2,3,4"
always_call,ES-MCCFR10000,-0.12655,-0.1315207279360114,-0.12157927206398858,0.0,50000,"0,1,2,3,4"
ES-MCCFR10000,always_call,0.12655,0.12157927206398858,0.1315207279360114,0.0,50000,"0,1,2,3,4"
rule_based_tight_aggressive,ev_heuristic_v0,-0.08862,-0.09029364317928555,-0.08694635682071446,0.0,50000,"0,1,2,3,4"
ev_heuristic_v0,rule_based_tight_aggressive,0.08862,0.08694635682071446,0.09029364317928555,0.0,50000,"0,1,2,3,4"
rule_based_tight_aggressive,CFR10000,0.00224,5.785493541367445e-05,0.004422145064586325,0.04422895584839039,50000,"0,1,2,3,4"
CFR10000,rule_based_tight_aggressive,-0.00224,-0.004422145064586325,-5.785493541367445e-05,0.04422895584839039,50000,"0,1,2,3,4"
rule_based_tight_aggressive,CFR+10000,-0.00013,-0.00237651052918306,0.00211651052918306,0.9096977659220714,50000,"0,1,2,3,4"
CFR+10000,rule_based_tight_aggressive,0.00013,-0.00211651052918306,0.00237651052918306,0.9096977659220714,50000,"0,1,2,3,4"
rule_based_tight_aggressive,OS-MCCFR10000,0.00293,0.0005449466222837923,0.005315053377716207,0.016051305625717088,50000,"0,1,2,3,4"
OS-MCCFR10000,rule_based_tight_aggressive,-0.00293,-0.005315053377716207,-0.0005449466222837923,0.016051305625717088,50000,"0,1,2,3,4"
rule_based_tight_aggressive,ES-MCCFR10000,0.01263,0.010692543019231074,0.014567456980768927,2.5230953537662544e-37,50000,"0,1,2,3,4"
ES-MCCFR10000,rule_based_tight_aggressive,-0.01263,-0.014567456980768927,-0.010692543019231074,2.5230953537662544e-37,50000,"0,1,2,3,4"
ev_heuristic_v0,CFR10000,-0.02059,-0.023357323512198967,-0.017822676487801035,4.511855341748809e-48,50000,"0,1,2,3,4"
CFR10000,ev_heuristic_v0,0.02059,0.017822676487801035,0.023357323512198967,4.511855341748809e-48,50000,"0,1,2,3,4"
ev_heuristic_v0,CFR+10000,-0.02333,-0.026141937747375128,-0.020518062252624873,2.6229429885822255e-59,50000,"0,1,2,3,4"
CFR+10000,ev_heuristic_v0,0.02333,0.020518062252624873,0.026141937747375128,2.6229429885822255e-59,50000,"0,1,2,3,4"
ev_heuristic_v0,OS-MCCFR10000,-0.01856,-0.021488842885300907,-0.015631157114699094,2.282410521959917e-35,50000,"0,1,2,3,4"
OS-MCCFR10000,ev_heuristic_v0,0.01856,0.015631157114699094,0.021488842885300907,2.282410521959917e-35,50000,"0,1,2,3,4"
ev_heuristic_v0,ES-MCCFR10000,-0.02122,-0.023911153471616094,-0.018528846528383904,9.330306276100324e-54,50000,"0,1,2,3,4"
ES-MCCFR10000,ev_heuristic_v0,0.02122,0.018528846528383904,0.023911153471616094,9.330306276100324e-54,50000,"0,1,2,3,4"
